GWO,"Kategoria naukowa",Nazwa jednostki uczelnianej,Nazwa jednostki głównej,Wnioski złożone,Pozyskane granty,Współczynnik sukcesu,Przyznana kwota,Pracownicy naukowi,"Kwota/pracownicy naukowi"
SI2IM,A,"","Instytut Metalurgii i Inżynierii Materiałowej im. Aleksandra Krupkowskiego PAN",34,10,29%,3 857 006 zł,"61,75",62 462 zł
SI2IM,B,"",Instytut Inżynierii Chemicznej PAN,5,1,20%,94 348 zł,35,2 696 zł
SI2MH,A+,"",Instytut Podstawowych Problemów Techniki PAN,39,11,28%,7 164 481 zł,147,48 738 zł
SI2MH,A,"","Instytut Maszyn Przepływowych im. Roberta Szewalskiego PAN",29,6,21%,4 282 671 zł,121,35 394 zł
SI2MI,A+,"",Instytut Matematyczny PAN,15,4,27%,1 434 180 zł,"81,25",17 651 zł
SI3EG,A,"",Narodowe Centrum Badań Jądrowych,28,4,14%,1 656 800 zł,"417,36",3 970 zł
SI3EG,B,"",Instytut Energetyki,1,1,100%,703 000 zł,262,2 683 zł
SI3EG,B,"",Instytut Technik Innowacyjnych EMAG,1,0,0%,0 zł,"131,92",0 zł
SI3EG,A,"",Instytut Chemicznej Przeróbki Węgla,2,0,0%,0 zł,"91,75",0 zł
SI3EG,A,"",Główny Instytut Górnictwa,3,0,0%,0 zł,"286,8",0 zł
SI3EG,A,"","Instytut Fizyki Plazmy i Laserowej Mikrosyntezy im. Sylwestra Kaliskiego",6,0,0%,0 zł,"54,58",0 zł
SI3EG,A,"",Instytut Nafty i Gazu,12,0,0%,0 zł,"206,55",0 zł
SI3EI,A,"",Instytut Technologii Materiałów Elektronicznych,16,8,50%,4 799 324 zł,"197,2",24 337 zł
SI3EI,A+,"",Instytut Technologii Elektronowej,33,3,9%,2 255 763 zł,"118,7",19 004 zł
SI3EI,B,"",Instytut Napędów i Maszyn Elektrycznych KOMEL,2,0,0%,0 zł,"18,9",0 zł
SI3EI,B,"",Instytut Łączności - Państwowy Instytut Badawczy,2,0,0%,0 zł,"125,6",0 zł
SI3EI,B,"",Instytut Techniki i Aparatury Medycznej ITAM,3,0,0%,0 zł,"19,63",0 zł
SI3EI,A,"",Instytut Tele- i Radiotechniczny,3,0,0%,0 zł,"104,4",0 zł
SI3EI,B,"",Instytut Elektrotechniki,10,0,0%,0 zł,"177,1",0 zł
SI3IO,B,"",Instytut Geodezji i Kartografii,6,2,33%,639 295 zł,"41,87",15 269 zł
SI3IO,A,"",Instytut Badawczy Dróg i Mostów,1,0,0%,0 zł,103,0 zł
SI3IO,B,"",Instytut Ceramiki i Materiałów Budowlanych,1,0,0%,0 zł,"181,85",0 zł
SI3IO,B,"",Instytut Gospodarki Przestrzennej i Mieszkalnictwa,1,0,0%,0 zł,"26,1",0 zł
SI3IO,A,"",Instytut Kolejnictwa,1,0,0%,0 zł,"113,63",0 zł
SI3IO,B,"","Instytut Meteorologii i Gospodarki Wodnej - Państwowy Instytut Badawczy",3,0,0%,0 zł,51,0 zł
SI3IO,B,"",Instytut Techniki Budowlanej,4,0,0%,0 zł,"246,6",0 zł
SI3IO,B,"",Instytut Rozwoju Miast,10,0,0%,0 zł,"33,3",0 zł
SI3MU,A,"","Instytut Mechanizacji Budownictwa i Górnictwa Skalnego",1,0,0%,0 zł,58,0 zł
SI3MU,B,"",Instytut Obróbki Plastycznej,1,0,0%,0 zł,"56,25",0 zł
SI3MU,B,"",Przemysłowy Instytut Maszyn Rolniczych,1,0,0%,0 zł,"76,35",0 zł
SI3MU,B,"","Wojskowy Instytut Techniki Pancernej i Samochodowej",2,0,0%,0 zł,"33,75",0 zł
SI3MU,B,"",Instytut Mechaniki Precyzyjnej,6,0,0%,0 zł,"89,1",0 zł
SI3MU,B,"",Instytut Zaawansowanych Technologii Wytwarzania,7,0,0%,0 zł,65,0 zł
SI3TB,B,"","Instytut Technologii Bezpieczeństwa ""MORATEX""",1,0,0%,0 zł,"29,5",0 zł
SI3TB,A,"",Instytut Transportu Samochodowego,3,0,0%,0 zł,65,0 zł
SI3TB,B,"",Instytut Logistyki i Magazynowania,3,0,0%,0 zł,"73,3",0 zł
SI3TB,A,"",Instytut Lotnictwa,3,0,0%,0 zł,"936,3",0 zł
SI3TB,A,"",Ośrodek Przetwarzania Informacji,5,0,0%,0 zł,"69,35",0 zł
SI3TM,A,"",Instytut Odlewnictwa,13,1,8%,594 870 zł,124,4 797 zł
SI3TM,A,"",Instytut Nawozów Sztucznych,1,1,100%,149 180 zł,42,3 552 zł
SI3TM,B,"","Instytut Chemii Przemysłowej im. prof. Ignacego Mościckiego",1,0,0%,0 zł,"144,05",0 zł
SI3TM,B,"",CORBO - Instytut Badawczy Opakowań,1,0,0%,0 zł,28,0 zł
SI3TM,A,"",Instytut Metalurgii Żelaza im. Stanisława Staszica,1,0,0%,0 zł,"78,8",0 zł
SI3TM,B,"","Instytut Inżynierii Materiałów Polimerowych i Barwników",2,0,0%,0 zł,55,0 zł
SI3TM,B,"",Instytut Przemysłu Organicznego,2,0,0%,0 zł,145,0 zł
SI3TM,B,"",Instytut Przemysłu Skórzanego,2,0,0%,0 zł,"42,26",0 zł
SI3TM,A,"",Instytut Włókiennictwa,2,0,0%,0 zł,"79,36",0 zł
SI3TM,A,"",Instytut Spawalnictwa,3,0,0%,0 zł,42,0 zł
SI3TM,B,"",Instytut Metali Nieżelaznych,10,0,0%,0 zł,214,0 zł
SI4TM,C,"","Fundacja Uniwersytetu im. A. Mickiewicza Poznański Park NaukowoTechnologiczny",5,0,0%,0 zł,33,0 zł
TA1MZ,B,Wydział Reżyserii Dźwięku,"Uniwersytet Muzyczny Fryderyka Chopina w Warszawie",1,1,100%,231 100 zł,33,7 003 zł
TA1MZ,B,"Wydział Dyrygentury, Kompozycji i Teorii Muzyki","Akademia Muzyczna im. Stanisława Moniuszki w Gdańsku",1,0,0%,0 zł,24,0 zł
TA1MZ,B,"Wydział Kompozycji, Interpretacji, Edukacji i Jazzu","Akademia Muzyczna im. Karola Szymanowskiego w Katowicach",1,0,0%,0 zł,"41,5",0 zł
TA1MZ,A,"Wydział Kompozycji, Dyrygentury i Teorii Muzyki","Uniwersytet Muzyczny Fryderyka Chopina w Warszawie",1,0,0%,0 zł,44,0 zł
TA1MZ,B,"Wydział Kompozycji, Dyrygentury, Teorii Muzyki i Rytmiki","Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu",2,0,0%,0 zł,34,0 zł
TA1MZ,A,"Wydział Kompozycji, Teorii Muzyki, Rytmiki i Edukacji Muzycznej","Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi",3,0,0%,0 zł,34,0 zł
TA1PK,B,Wydział Konserwacji i Restauracji Dzieł Sztuki,"Akademia Sztuk Pięknych im. Jana Matejki w Krakowie",3,1,33%,747 360 zł,35,21 353 zł
TA1PK,A+,Wydział Konserwacji i Restauracji Dzieł Sztuki,Akademia Sztuk Pięknych w Warszawie,7,2,29%,777 300 zł,56,13 880 zł
TA1PK,B,Wydział Sztuki,Akademia im. Jana Długosza w Częstochowie,2,1,50%,104 650 zł,47,2 227 zł
TA1PK,A,Wydział Sztuk Pięknych,Uniwersytet Mikołaja Kopernika w Toruniu,6,2,33%,247 712 zł,127,1 950 zł
TA1PK,A,Wydział Artystyczny,Uniwersytet Marii Curie-Skłodowskiej,1,0,0%,0 zł,"100,5",0 zł
TA1PK,B,Wydział Sztuki,Uniwersytet Warmińsko-Mazurski w Olsztynie,1,0,0%,0 zł,45,0 zł
TA1PK,B,Wydział Malarstwa,"Akademia Sztuk Pięknych im. Jana Matejki w Krakowie",1,0,0%,0 zł,46,0 zł
TA1PK,B,Wydział Rzeźby,"Akademia Sztuk Pięknych im. Jana Matejki w Krakowie",1,0,0%,0 zł,28,0 zł
TA1PK,B,Wydział Artystyczny,Uniwersytet Zielonogórski,1,0,0%,0 zł,46,0 zł
TA1PK,B,Wydział Sztuk Wizualnych,"Akademia Sztuk Pięknych im. Władysława Strzemińskiego w Łodzi",1,0,0%,0 zł,34,0 zł
TA1PK,B,Wydział Rzeźby,Akademia Sztuk Pięknych w Warszawie,1,0,0%,0 zł,"27,25",0 zł
TA1PK,A,Wydział Rzeźby i Działań Przestrzennych,Uniwersytet Artystyczny w Poznaniu,1,0,0%,0 zł,30,0 zł
TA1PK,B,Wydział Artystyczny w Cieszynie,Uniwersytet Śląski w Katowicach,2,0,0%,0 zł,101,0 zł
TA1PK,A,Wydział Intermediów,"Akademia Sztuk Pięknych im. Jana Matejki w Krakowie",3,0,0%,0 zł,12,0 zł
TA1PK,A,Wydział Pedagogiczno-Artystyczny w Kaliszu,Uniwersytet im. Adama Mickiewicza w Poznaniu,3,0,0%,0 zł,65,0 zł
TA1PK,B,Wydział Pedagogiczno-Artystyczny,Uniwersytet Rzeszowski,3,0,0%,0 zł,124,0 zł
TA1PK,B,Wydział Sztuki,"Uniwersytet Pedagogiczny im. Komisji Edukacji Narodowej w Krakowie",4,0,0%,0 zł,50,0 zł
TA1PK,B,Wydział Grafiki,"Akademia Sztuk Pięknych im. Jana Matejki w Krakowie",6,0,0%,0 zł,44,0 zł
TA1PK,A,Wydział Pedagogiczny i Artystyczny,Uniwersytet Jana Kochanowskiego w Kielcach,8,0,0%,0 zł,98,0 zł
TA1PR,C,Wydział Architektury Wnętrz,Akademia Sztuk Pięknych w Warszawie,1,0,0%,0 zł,40,0 zł
TA1PR,A,Wydział Ceramiki i Szkła,"Akademia Sztuk Pięknych im. Eugeniusza Gepperta we Wrocławiu",2,0,0%,0 zł,"41,27",0 zł
TA1TF,B,Wydział Wiedzy o Teatrze,"Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie",1,0,0%,0 zł,"17,7",0 zł
TA1TF,A,Wydział Operatorski i Realizacji Telewizyjnej,"Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera w Łodzi",1,0,0%,0 zł,74,0 zł
TA1TF,B,Wydział Organizacji Sztuki Filmowej,"Państwowa Wyższa Szkoła Filmowa, Telewizyjna i Teatralna im. Leona Schillera w Łodzi",1,0,0%,0 zł,8,0 zł
TA1TF,B,Zamiejscowy Wydział Sztuki Lalkarskiej,"Akademia Teatralna im. Aleksandra Zelwerowicza w Warszawie",1,0,0%,0 zł,34,0 zł
TA1TF,B,Wydział Radia i Telewizji im. K. Kieślowskiego,Uniwersytet Śląski w Katowicach,4,0,0%,0 zł,25,0 zł
BRAK DANYCH,BRAK DANYCH,Wydział Inżynierski,Akademia Finansów i Biznesu Vistula,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Studium Wychowania Fizycznego i Sportu,Akademia im. Jana Długosza w Częstochowie,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Biblioteka Główna,"Akademia Muzyczna im. Ignacego Jana Paderewskiego w Poznaniu",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Europejska Uczelnia Społeczno-Techniczna w Radomiu",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Administarcji,Gdańska Szkoła Wyższa,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Turystyki i Promocji Zdrowia,"Górnośląska Wyższa Szkoła Handlowa im. W. Korfantego w Katowicach",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Państwowa Wyższa Szkoła Zawodowa w Głogowie,1,0,0%,0 zł,63,0 zł
BRAK DANYCH,BRAK DANYCH,"",Państwowa Wyższa Szkoła Zawodowa w Głogowie,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Pedagogium Wyższa Szkoła Nauk Społecznych w Warszawie",1,0,0%,0 zł,14,0 zł
BRAK DANYCH,BRAK DANYCH,Wydział Humanistyczny,Politechnika Koszalińska,1,0,0%,0 zł,14,0 zł
BRAK DANYCH,BRAK DANYCH,"Interdyscyplinarne Centrum Badawcze Humanistyka/Sztuka/Technologia",Uniwersytet im. Adama Mickiewicza w Poznaniu,1,1,100%,298 513 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Centrum Badań Ilościowych nad Polityką,Uniwersytet Jagielloński,1,1,100%,141 690 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Archiwum Uniwersytetu Mikołaja Kopernika,Uniwersytet Mikołaja Kopernika w Toruniu,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Uniwersytet Przyrodniczy we Wrocławiu,1,0,0%,0 zł,749,0 zł
BRAK DANYCH,BRAK DANYCH,"Uniwersyteckie Centrum Medycyny Weterynaryjnej UJ-UR","Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie",1,0,0%,0 zł,1,0 zł
BRAK DANYCH,BRAK DANYCH,"Zamiejscowy Wydział Administracji w Jarocinie",Uniwersytet Szczeciński,1,0,0%,0 zł,12,0 zł
BRAK DANYCH,BRAK DANYCH,Katedra Teologii Prawosławnej,Uniwersytet w Białymstoku,1,0,0%,0 zł,3,0 zł
BRAK DANYCH,BRAK DANYCH,"Centrum Kształcenia Nauczycieli Języków Obcych i Edukacji Europejskiej",Uniwersytet Warszawski,1,0,0%,0 zł,45,0 zł
BRAK DANYCH,BRAK DANYCH,Obserwatorium Astronomiczne,Uniwersytet Warszawski,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Pedagogiki i Nauk o Zdrowiu,"Wyższa Szkoła Biznesu i Przedsiębiorczości w Ostrowcu Świętokrzyskim",1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Wyższa Szkoła Ekonomii, Prawa i Nauk Medycznych im. prof. Edwarda Lipińskiego w Kielcach",1,0,0%,0 zł,70,0 zł
BRAK DANYCH,BRAK DANYCH,"",Wyższa Szkoła Filologiczna we Wrocławiu,1,0,0%,0 zł,37,0 zł
BRAK DANYCH,BRAK DANYCH,Wydział Medyczny,Wyższa Szkoła Informatyki i Zarządzania w Rzeszowie,1,0,0%,0 zł,23,0 zł
BRAK DANYCH,BRAK DANYCH,"","Wyższa Szkoła Pedagogiczna im. Janusza Korczaka w Warszawie",1,0,0%,0 zł,46,0 zł
BRAK DANYCH,BRAK DANYCH,"","Wyższa Szkoła Pedagogiczna Związku Nauczycielstwa Polskiego w Warszawie",1,0,0%,0 zł,13,0 zł
BRAK DANYCH,BRAK DANYCH,Wydział Zamiejscowy w Warszawie,Społeczna Akademia Nauk,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"Wydział Studiów Międzynarodowych i Informatyki",Społeczna Akademia Nauk,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Zagraniczne Stacje Naukowe PAN,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Zakład Antropologii PAN we Wrocławiu,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Zarządzania Sportem i Turystyką,"Akademia Wychowania Fizycznego im. Jerzego Kukuczki w Katowicach",2,0,0%,0 zł,50,0 zł
BRAK DANYCH,BRAK DANYCH,"",Collegium Mazovia Innowacyjna Szkoła Wyższa,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Studiów Inżynierskich,Gdańska Szkoła Wyższa,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Państwowa Wyższa Szkoła Zawodowa im. Angelusa Silesiusa w Wałbrzychu",2,1,50%,283 651 zł,101,2 808 zł
BRAK DANYCH,BRAK DANYCH,"Uczelniane Centrum Badawcze ""Materiały Funkcjonalne""",Politechnika Warszawska,2,0,0%,0 zł,1,0 zł
BRAK DANYCH,BRAK DANYCH,"Centrum Badawczo-Rozwojowe Samorządu Terytorialnego",Uniwersytet Ekonomiczny we Wrocławiu,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Centrum Badań Migracyjnych,Uniwersytet im. Adama Mickiewicza w Poznaniu,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Zamiejscowy w Katowicach,Uniwersytet SWPS,2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"Centrum Studiów Niemieckich i Europejskich im. Willy Brandta",Uniwersytet Wrocławski,2,0,0%,0 zł,6,0 zł
BRAK DANYCH,BRAK DANYCH,"",Wyższa Szkoła Europejska  im. ks. Józefa Tischnera,2,1,50%,453 537 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Humanistyczno-Społeczny,"Wyższa Szkoła Zarządzania Ochroną Pracy w Katowicach",2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Nauk Technicznych,"Wyższa Szkoła Zarządzania Ochroną Pracy w Katowicach",2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Wydział Zarządzania i Transportu,"Akademia Techniczno-Humanistyczna w Bielsku-Białej",3,0,0%,0 zł,51,0 zł
BRAK DANYCH,BRAK DANYCH,Wydział Wychowania Fizycznego,"Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego w Gdańsku",3,0,0%,0 zł,117,0 zł
BRAK DANYCH,BRAK DANYCH,Collegium Polonicum w Słubicach,Uniwersytet im. Adama Mickiewicza w Poznaniu,3,1,33%,127 530 zł,16,7 971 zł
BRAK DANYCH,BRAK DANYCH,Centrum Zaawansowanych Technologii,Uniwersytet im. Adama Mickiewicza w Poznaniu,3,0,0%,0 zł,6,0 zł
BRAK DANYCH,BRAK DANYCH,Biblioteka Jagiellońska,Uniwersytet Jagielloński,3,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Wyższa Szkoła Zarządzania i Prawa im. Heleny Chodkowskiej",3,1,33%,56 336 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Zakład Ichtiobiologii i Gospodarki Rybackiej PAN w Gołyszu",3,1,33%,49 400 zł,2,24 700 zł
BRAK DANYCH,BRAK DANYCH,Wydział Zamiejscowy w Poznaniu,Uniwersytet SWPS,4,2,50%,2 216 075 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"Wydział Biznesu i Stosunków Międzynarodowych",Akademia Finansów i Biznesu Vistula,5,0,0%,0 zł,58,0 zł
BRAK DANYCH,BRAK DANYCH,"","Państwowa Wyższa Szkoła Zawodowa im. Prezydenta Stanisława Wojciechowskiego w Kaliszu",7,0,0%,0 zł,287,0 zł
BRAK DANYCH,BRAK DANYCH,"Akademickie Centrum Materiałów i Nanotechnologii","Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",8,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Instytut Kultury Europejskiej,Uniwersytet im. Adama Mickiewicza w Poznaniu,9,0,0%,0 zł,28,0 zł
BRAK DANYCH,BRAK DANYCH,Jagiellońskie Centrum Rozwoju Leków (JCET),Uniwersytet Jagielloński,9,2,22%,199 975 zł,4,49 994 zł
BRAK DANYCH,BRAK DANYCH,Centrum Biotechnologii,Politechnika Śląska,11,2,18%,1 799 500 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Małopolskie Centrum Biotechnologii,Uniwersytet Jagielloński,15,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,Centrum NanoBioMedyczne,Uniwersytet im. Adama Mickiewicza w Poznaniu,33,4,12%,2 195 198 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Śląskie Centrum Chorób Serca w Zabrzu,5,1,20%,1 997 655 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Krakowski Szpital Specjalistyczny im. Jana Pawła II,2,1,50%,411 632 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Stowarzyszenie European Regional Science Association - sekcja polska",1,1,100%,342 188 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",American Heart of Poland SA,6,1,17%,316 100 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Instytut Badań Konsumenckich i Sensorycznych Sp. z o.o.",1,1,100%,226 991 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Fundacja Naukowa Instytut Badań Strukturalnych,3,1,33%,223 680 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Polskie Towarzystwo Ludoznawcze,1,1,100%,212 918 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Fundacja ""Centrum Europejskie - Natolin""",1,1,100%,189 600 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,A,"",Polska Akademia Umiejętności,9,1,11%,150 000 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Muzeum Archeologiczne w Poznaniu,2,1,50%,138 979 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Szpital Kliniczny im. Heliodora Święcickiego Uniwersytetu Medycznego w Poznaniu",3,1,33%,93 720 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Towarzystwo Naukowe w Toruniu,7,1,14%,90 000 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Towarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego Jana Pawła II",12,1,8%,39 000 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Centrum Polsko-Rosyjskiego Dialogu i Porozumienia,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Instytut im. Oskara Kolberga,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Instytut Kaszubski,1,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Ogród Botaniczny - Centrum Zachowania Różnorodności Biologicznej PAN w Powsinie",2,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"","Projekt Nauka. Fundacja na rzecz promocji nauki polskiej",3,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
BRAK DANYCH,BRAK DANYCH,"",Wielkopolskie Centrum Onkologii,9,0,0%,0 zł,BRAK DANYCH,BRAK DANYCH
